"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2024","23,874.94","24,014.67","24,069.57","23,775.61","","-0.26%"
"07/04/2024","23,937.66","23,880.29","23,954.96","23,848.30","","0.83%"
"07/03/2024","23,739.50","23,576.39","23,832.76","23,535.26","","1.25%"
"07/02/2024","23,446.94","23,382.75","23,462.05","23,257.14","","-0.30%"
"07/01/2024","23,517.99","23,867.28","23,913.05","23,517.99","","1.14%"
"06/28/2024","23,253.34","23,455.45","23,455.45","23,182.06","","-0.68%"
"06/27/2024","23,412.92","23,687.69","23,710.32","23,386.30","","-1.03%"
"06/26/2024","23,656.73","23,951.01","23,961.43","23,502.78","","-0.69%"
"06/25/2024","23,821.98","23,777.96","23,849.23","23,681.64","","-0.58%"
"06/24/2024","23,960.63","23,733.97","24,017.79","23,719.30","","1.03%"
"06/21/2024","23,716.41","23,792.78","23,856.82","23,633.24","","-0.56%"
"06/20/2024","23,849.38","23,584.01","23,884.50","23,558.94","","1.34%"
"06/19/2024","23,534.93","23,681.36","23,708.63","23,522.18","","-0.66%"
"06/18/2024","23,690.20","23,714.72","23,728.48","23,489.05","","0.76%"
"06/17/2024","23,512.48","23,411.44","23,541.59","23,235.51","","0.91%"
"06/14/2024","23,300.38","23,866.27","23,870.61","23,181.05","","-2.66%"
"06/13/2024","23,936.22","24,393.80","24,402.97","23,888.71","","-1.99%"
"06/12/2024","24,422.77","24,264.60","24,455.30","24,228.10","","0.97%"
"06/11/2024","24,188.33","24,597.88","24,630.88","24,097.14","","-1.33%"
"06/10/2024","24,513.70","24,260.90","24,513.70","24,260.90","","-1.28%"
"06/07/2024","24,831.43","24,971.44","24,976.62","24,649.86","","-0.48%"
"06/06/2024","24,950.34","24,963.29","24,998.15","24,874.55","","0.42%"
"06/05/2024","24,846.24","24,773.20","24,938.78","24,695.28","","0.88%"
"06/04/2024","24,630.16","24,743.46","24,773.91","24,556.86","","-0.71%"
"06/03/2024","24,806.05","25,028.10","25,036.46","24,796.92","","0.06%"
"05/31/2024","24,790.06","24,727.07","24,802.54","24,688.68","","0.21%"
"05/30/2024","24,738.02","24,540.62","24,745.98","24,538.52","","0.55%"
"05/29/2024","24,603.20","24,908.43","24,928.45","24,576.53","","-1.43%"
"05/28/2024","24,960.94","25,198.75","25,242.17","24,909.04","","-0.73%"
"05/27/2024","25,144.26","25,007.82","25,144.26","25,002.92","","0.51%"
"05/24/2024","25,017.27","24,889.99","25,045.39","24,854.49","","-0.09%"
"05/23/2024","25,040.00","25,046.14","25,143.50","24,978.67","","0.13%"
"05/22/2024","25,008.43","25,121.05","25,121.05","24,966.39","","-0.53%"
"05/21/2024","25,142.70","25,209.55","25,222.90","25,008.85","","-0.36%"
"05/20/2024","25,234.51","25,181.17","25,312.44","25,171.43","","0.44%"
"05/17/2024","25,124.46","25,153.05","25,202.66","25,026.96","","-0.26%"
"05/16/2024","25,189.04","25,346.78","25,346.78","25,172.75","","-0.62%"
"05/15/2024","25,345.85","25,351.05","25,386.18","25,233.30","","0.17%"
"05/14/2024","25,302.20","25,265.34","25,324.89","25,185.00","","0.22%"
"05/13/2024","25,247.46","25,252.94","25,292.03","25,178.37","","0.11%"
"05/10/2024","25,220.50","25,261.94","25,343.37","25,196.11","","0.38%"
"05/09/2024","25,123.86","24,928.30","25,136.96","24,900.57","","0.69%"
"05/08/2024","24,951.28","24,835.39","25,031.26","24,822.07","","0.73%"
"05/07/2024","24,770.18","24,650.79","24,776.21","24,557.41","","0.99%"
"05/06/2024","24,527.75","24,464.06","24,639.91","24,419.88","","0.56%"
"05/03/2024","24,391.26","24,349.30","24,533.31","24,279.89","","0.62%"
"05/02/2024","24,241.76","24,362.05","24,369.74","24,223.36","","-0.68%"
"04/30/2024","24,407.51","24,678.05","24,702.64","24,367.48","","-0.76%"
"04/29/2024","24,594.54","24,750.91","24,786.20","24,594.54","","-0.29%"
"04/26/2024","24,664.94","24,616.15","24,745.34","24,471.10","","0.98%"
"04/25/2024","24,425.69","24,663.02","24,665.71","24,239.39","","-0.93%"
"04/24/2024","24,654.85","24,695.54","24,822.73","24,614.96","","-0.17%"
"04/23/2024","24,697.24","24,571.18","24,713.64","24,535.45","","1.01%"
"04/22/2024","24,449.11","24,533.41","24,544.54","24,349.22","","0.42%"
"04/19/2024","24,346.05","24,192.10","24,397.86","24,116.72","","-0.01%"
"04/18/2024","24,348.65","24,320.25","24,396.97","24,206.41","","0.52%"
"04/17/2024","24,221.94","24,152.17","24,463.12","24,150.59","","0.62%"
"04/16/2024","24,073.54","23,972.70","24,205.01","23,972.70","","-1.34%"
"04/15/2024","24,400.63","24,419.29","24,647.13","24,351.29","","0.43%"
"04/12/2024","24,296.68","24,544.23","24,621.78","24,204.36","","-0.16%"
"04/11/2024","24,335.84","24,409.88","24,545.36","24,185.15","","-0.27%"
"04/10/2024","24,401.45","24,570.29","24,571.58","24,191.07","","-0.05%"
"04/09/2024","24,412.97","24,538.22","24,576.82","24,361.71","","-0.86%"
"04/08/2024","24,625.67","24,415.55","24,704.28","24,414.00","","0.72%"
"04/05/2024","24,449.77","24,416.22","24,451.91","24,322.34","","-1.11%"
